STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,MEASURE,Age,SEX,Sex,INCP,Total Personal Income (weekly),STATE,State,REGIONTYPE,Geography Level,REGION,LGA 2011,FREQUENCY,Frequency,TIME_PERIOD,Time Period,OBS_VALUE,Observation Value,UNIT_MEASURE,Unit of Measure,OBS_STATUS,Observation Status,OBS_COMMENT,Observation Comment
DATAFLOW,ABS:ABS_CENSUS2011_B17_LGA(1.0.0),B17 Total Personal Income (weekly) by Age by Sex (LGA),I,T45,45 - 54,3,Persons,08,$800-$999,1,New South Wales,LGA2011,Local Government Areas (2011),10110,Armidale Dumaresq (A),A,Annual,2011,,334,,PSNS,Persons,,,,
DATAFLOW,ABS:ABS_CENSUS2011_B17_LGA(1.0.0),B17 Total Personal Income (weekly) by Age by Sex (LGA),I,T25,25 - 34,2,Females,TOT,Total,1,New South Wales,LGA2011,Local Government Areas (2011),10110,Armidale Dumaresq (A),A,Annual,2011,,1307,,PSNS,Persons,,,,
DATAFLOW,ABS:ABS_CENSUS2011_B17_LGA(1.0.0),B17 Total Personal Income (weekly) by Age by Sex (LGA),I,O85,85 years and over,2,Females,Z,Personal income not stated,1,New South Wales,LGA2011,Local Government Areas (2011),10110,Armidale Dumaresq (A),A,Annual,2011,,48,,PSNS,Persons,,,,
DATAFLOW,ABS:ABS_CENSUS2011_B17_LGA(1.0.0),B17 Total Personal Income (weekly) by Age by Sex (LGA),I,T45,45 - 54,1,Males,09,"$1,000-$1,249",1,New South Wales,LGA2011,Local Government Areas (2011),10110,Armidale Dumaresq (A),A,Annual,2011,,163,,PSNS,Persons,,,,
DATAFLOW,ABS:ABS_CENSUS2011_B17_LGA(1.0.0),B17 Total Personal Income (weekly) by Age by Sex (LGA),I,T25,25 - 34,3,Persons,07,$600-$799,1,New South Wales,LGA2011,Local Government Areas (2011),10110,Armidale Dumaresq (A),A,Annual,2011,,455,,PSNS,Persons,,,,
DATAFLOW,ABS:ABS_CENSUS2011_B17_LGA(1.0.0),B17 Total Personal Income (weekly) by Age by Sex (LGA),I,T55,55 - 64,3,Persons,01_02,Negative/Nil income,1,New South Wales,LGA2011,Local Government Areas (2011),10110,Armidale Dumaresq (A),A,Annual,2011,,105,,PSNS,Persons,,,,
DATAFLOW,ABS:ABS_CENSUS2011_B17_LGA(1.0.0),B17 Total Personal Income (weekly) by Age by Sex (LGA),I,T45,45 - 54,3,Persons,09,"$1,000-$1,249",1,New South Wales,LGA2011,Local Government Areas (2011),10110,Armidale Dumaresq (A),A,Annual,2011,,338,,PSNS,Persons,,,,
DATAFLOW,ABS:ABS_CENSUS2011_B17_LGA(1.0.0),B17 Total Personal Income (weekly) by Age by Sex (LGA),I,A15,15 - 19,2,Females,Z,Personal income not stated,1,New South Wales,LGA2011,Local Government Areas (2011),10110,Armidale Dumaresq (A),A,Annual,2011,,103,,PSNS,Persons,,,,
DATAFLOW,ABS:ABS_CENSUS2011_B17_LGA(1.0.0),B17 Total Personal Income (weekly) by Age by Sex (LGA),I,A20,20 - 24,1,Males,10,"$1,250-$1,499",1,New South Wales,LGA2011,Local Government Areas (2011),10110,Armidale Dumaresq (A),A,Annual,2011,,14,,PSNS,Persons,,,,
DATAFLOW,ABS:ABS_CENSUS2011_B17_LGA(1.0.0),B17 Total Personal Income (weekly) by Age by Sex (LGA),I,A15,15 - 19,1,Males,05,$300-$399,1,New South Wales,LGA2011,Local Government Areas (2011),10110,Armidale Dumaresq (A),A,Annual,2011,,67,,PSNS,Persons,,,,
DATAFLOW,ABS:ABS_CENSUS2011_B17_LGA(1.0.0),B17 Total Personal Income (weekly) by Age by Sex (LGA),I,T45,45 - 54,2,Females,05,$300-$399,1,New South Wales,LGA2011,Local Government Areas (2011),10110,Armidale Dumaresq (A),A,Annual,2011,,125,,PSNS,Persons,,,,
DATAFLOW,ABS:ABS_CENSUS2011_B17_LGA(1.0.0),B17 Total Personal Income (weekly) by Age by Sex (LGA),I,A15,15 - 19,1,Males,TOT,Total,1,New South Wales,LGA2011,Local Government Areas (2011),10110,Armidale Dumaresq (A),A,Annual,2011,,1085,,PSNS,Persons,,,,
DATAFLOW,ABS:ABS_CENSUS2011_B17_LGA(1.0.0),B17 Total Personal Income (weekly) by Age by Sex (LGA),I,T45,45 - 54,1,Males,06,$400-$599,1,New South Wales,LGA2011,Local Government Areas (2011),10110,Armidale Dumaresq (A),A,Annual,2011,,150,,PSNS,Persons,,,,
DATAFLOW,ABS:ABS_CENSUS2011_B17_LGA(1.0.0),B17 Total Personal Income (weekly) by Age by Sex (LGA),I,A20,20 - 24,3,Persons,05,$300-$399,1,New South Wales,LGA2011,Local Government Areas (2011),10110,Armidale Dumaresq (A),A,Annual,2011,,253,,PSNS,Persons,,,,
DATAFLOW,ABS:ABS_CENSUS2011_B17_LGA(1.0.0),B17 Total Personal Income (weekly) by Age by Sex (LGA),I,T75,75 - 84,1,Males,01_02,Negative/Nil income,1,New South Wales,LGA2011,Local Government Areas (2011),10110,Armidale Dumaresq (A),A,Annual,2011,,5,,PSNS,Persons,,,,
DATAFLOW,ABS:ABS_CENSUS2011_B17_LGA(1.0.0),B17 Total Personal Income (weekly) by Age by Sex (LGA),I,T65,65 - 74,2,Females,09,"$1,000-$1,249",1,New South Wales,LGA2011,Local Government Areas (2011),10110,Armidale Dumaresq (A),A,Annual,2011,,28,,PSNS,Persons,,,,
DATAFLOW,ABS:ABS_CENSUS2011_B17_LGA(1.0.0),B17 Total Personal Income (weekly) by Age by Sex (LGA),I,O85,85 years and over,1,Males,10,"$1,250-$1,499",1,New South Wales,LGA2011,Local Government Areas (2011),10110,Armidale Dumaresq (A),A,Annual,2011,,5,,PSNS,Persons,,,,
DATAFLOW,ABS:ABS_CENSUS2011_B17_LGA(1.0.0),B17 Total Personal Income (weekly) by Age by Sex (LGA),I,T65,65 - 74,2,Females,10,"$1,250-$1,499",1,New South Wales,LGA2011,Local Government Areas (2011),10110,Armidale Dumaresq (A),A,Annual,2011,,25,,PSNS,Persons,,,,
DATAFLOW,ABS:ABS_CENSUS2011_B17_LGA(1.0.0),B17 Total Personal Income (weekly) by Age by Sex (LGA),I,A15,15 - 19,1,Males,06,$400-$599,1,New South Wales,LGA2011,Local Government Areas (2011),10110,Armidale Dumaresq (A),A,Annual,2011,,65,,PSNS,Persons,,,,
DATAFLOW,ABS:ABS_CENSUS2011_B17_LGA(1.0.0),B17 Total Personal Income (weekly) by Age by Sex (LGA),I,T25,25 - 34,1,Males,06,$400-$599,1,New South Wales,LGA2011,Local Government Areas (2011),10110,Armidale Dumaresq (A),A,Annual,2011,,158,,PSNS,Persons,,,,
DATAFLOW,ABS:ABS_CENSUS2011_B17_LGA(1.0.0),B17 Total Personal Income (weekly) by Age by Sex (LGA),I,T55,55 - 64,3,Persons,12,"$2,000 or more",1,New South Wales,LGA2011,Local Government Areas (2011),10110,Armidale Dumaresq (A),A,Annual,2011,,181,,PSNS,Persons,,,,
DATAFLOW,ABS:ABS_CENSUS2011_B17_LGA(1.0.0),B17 Total Personal Income (weekly) by Age by Sex (LGA),I,T25,25 - 34,2,Females,10,"$1,250-$1,499",1,New South Wales,LGA2011,Local Government Areas (2011),10110,Armidale Dumaresq (A),A,Annual,2011,,62,,PSNS,Persons,,,,
DATAFLOW,ABS:ABS_CENSUS2011_B17_LGA(1.0.0),B17 Total Personal Income (weekly) by Age by Sex (LGA),I,T35,35 - 44,1,Males,12,"$2,000 or more",1,New South Wales,LGA2011,Local Government Areas (2011),10110,Armidale Dumaresq (A),A,Annual,2011,,117,,PSNS,Persons,,,,
DATAFLOW,ABS:ABS_CENSUS2011_B17_LGA(1.0.0),B17 Total Personal Income (weekly) by Age by Sex (LGA),I,T25,25 - 34,1,Males,03,$1-$199,1,New South Wales,LGA2011,Local Government Areas (2011),10110,Armidale Dumaresq (A),A,Annual,2011,,46,,PSNS,Persons,,,,
DATAFLOW,ABS:ABS_CENSUS2011_B17_LGA(1.0.0),B17 Total Personal Income (weekly) by Age by Sex (LGA),I,T25,25 - 34,1,Males,01_02,Negative/Nil income,1,New South Wales,LGA2011,Local Government Areas (2011),10110,Armidale Dumaresq (A),A,Annual,2011,,44,,PSNS,Persons,,,,
